id,complaint_text,intended_urgency,intended_emotion,scenario,style,profile,history
15,"I would like to formally raise a complaint regarding the slow broadband speeds I have been experiencing. This is my second attempt to address this, as I found my initial contact last month did not provide a satisfactory resolution.",Low,Low,Slow Broadband Speeds,Legalistic / rights-aware,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
16,"I have been on hold for an excessive amount of time today, and this is my second attempt to reach someone regarding my account. Given my circumstances, prolonged delays create unnecessary challenges. I would appreciate a prompt resolution.",Low,Low,Long Call-Waiting Times,Terse and minimal,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
17,"I switched from my previous provider a month ago, and I am having considerable difficulty in cancelling my old service. Despite multiple attempts, I have not received a clear answer. It would be helpful to have guidance on how to proceed with this cancellation smoothly.",Low,Low,Difficulty Cancelling Service,Narrative / storytelling,Recently switched from another provider,First contact — raising the issue for the first time
18,I have contacted customer service several times over the last few weeks about some unexpected fees on my recent bill. Each interaction has led to vague reassurances but no actual resolution. I would like to clarify these charges and ensure they are corrected moving forward.,Low,Low,Hidden Fees & Charges,Casual conversational,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
19,"I have been a loyal customer for over ten years, and I am surprised to see an increase in my rates during the middle of my contract. I’ve already called multiple times and was informed it was company policy. This approach feels very disappointing for someone who has been committed for so long.",Low,Low,Mid-Contract Price Increase,Casual conversational,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
20,"After switching from another provider, I have come to realise I'm penalised for my loyalty, paying more than new customers. This feels quite unfair. I would appreciate it if my situation could be reviewed to avoid this discrepancy.",Low,Low,Loyalty Penalty,Terse and minimal,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
21,I am finding that the network coverage in my area is inadequate. I have discussed this matter before but have yet to see any improvement. It would be reassuring to understand if this is something that can be addressed.,Low,Low,Poor Network Coverage,Terse and minimal,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
22,I recently found out that I’m being charged more for sticking with your service than new customers. It seems odd that as a newer customer I should be penalised rather than rewarded. I hope this is something that can be rectified.,Low,Low,Loyalty Penalty,Narrative / storytelling,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
23,"As a small business owner, the recent mid-contract price increase has made my service less economically viable. I have raised this issue several times already, but I am looking for a more constructive solution to allow me to continue using your services.",Low,Low,Mid-Contract Price Increase,Casual conversational,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
24,"Recently, I have noticed unexpected charges appearing on my bills. I have escalated this issue to no avail and now I find it necessary to involve a manager to seek clarification. It would be prudent to have a comprehensive review of these charges.",Low,Low,Hidden Fees & Charges,Passive-aggressive / sarcastic,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
25,"I attempted to gain support through your AI chatbot recently, but the responses were utterly unhelpful. I have brought this to your attention multiple times without improvement. It would be preferable to speak to a representative who can address my specific queries.",Low,Low,Ineffective AI / Chatbot Support,Passive-aggressive / sarcastic,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
26,"I waited for an extended period during my call for support regarding my family plan, only to find that the advice given did not resolve my issue. This is becoming increasingly burdensome as I have escalated my concerns without any noticeable benefits.",Low,Low,Long Call-Waiting Times,Verbose and detailed,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
27,"I experienced hidden fees listed in my most recent bill. This is my second inquiry regarding the matter, and I was told previously that it would be looked into, yet nothing has changed. I would appreciate clarification on these charges promptly.",Low,Low,Hidden Fees & Charges,Polite but firm,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
28,"In my attempts to cancel my service, I have found the process to be cumbersome. I reached out a few days ago and was informed it would be addressed. Yet, there has been no follow-up on this, which feels rather disheartening.",Low,Low,Difficulty Cancelling Service,Formal professional,Student on a tight budget,Second attempt — raised once before with no resolution
29,"After contacting you regarding my service cancellation, I was assured it would be handled swiftly. This is my second attempt to confirm whether this request has been processed or if further action is needed on my end.",Low,Low,Difficulty Cancelling Service,Verbose and detailed,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
30,"I find it disappointing to have to chase for updates, especially since this is my second request for information on the status of my case. Clear communication is important, and I hope to receive an update soon.",Low,Low,Lack of Progress Updates,Legalistic / rights-aware,Student on a tight budget,Second attempt — raised once before with no resolution
31,"I recently discovered that my plan has auto-renewed without my consent. I had contacted your customer service multiple times over the past three weeks regarding this issue, speaking to several representatives, including Sarah on the 12th and Mark on the 19th. I would appreciate clarification on your process and how to avoid this in the future, as I expected a more transparent approach given I just transitioned from a different provider.",Low,Low,Auto-Renewal Without Consent,Verbose and detailed,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
32,"It's quite something that a brand-new handset can have issues right away. My device, which I purchased just a month ago, has been showing problems with calls dropping and connections failing. I reached out three times in the last two weeks, only to be told it’s a 'known issue' but no real solutions have been offered. Perhaps a decent device would be a nice change from the apparently standard disposable ones you provide.",Low,Low,Faulty Hardware / Handset Issues,Passive-aggressive / sarcastic,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
33,"I'm a small business owner, and I rely heavily on my phone for communication with clients. I have encountered issues where my calls are frequently cut off or continue to drop unexpectedly. This is my first contact regarding the matter, and I believe it requires prompt attention given the impact it could have on my business operations. I would appreciate your assistance in resolving this promptly.",Low,Low,Faulty Hardware / Handset Issues,Formal professional,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
34,"As someone who is not very confident with technology, I have found that the network coverage in my area is not adequate at all. I’ve raised this issue previously with your support, but to no avail. I would like to reach out again and request to escalate this matter to a manager since it remains unresolved despite previous conversations.",Low,Low,Poor Network Coverage,Formal professional,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
35,"Once again, my new smartphone is malfunctioning. As a recent customer, I had hoped for better quality. I contacted your support team several times over the last few weeks, and every time, I have been promised a replacement, yet I have not seen any progress. A timely resolution would be very much appreciated.",Low,Low,Faulty Hardware / Handset Issues,Verbose and detailed,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
36,"I’ve been trying to understand why my device keeps freezing every time I try to access my apps. As an elderly customer, managing technology can be a bit overwhelming, and I feel like I've been going in circles after contacting your helpline several times over the past month. Could you please assist me in resolving this issue or provide me with a more straightforward guide?",Low,Low,Faulty Hardware / Handset Issues,Casual conversational,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
37,"I'm a student managing my budget, and I would like to discuss the poor network coverage in the area that I rely on for online classes. I did raise this issue last month, but I received no follow-up, which was disappointing. Perhaps I should consider alternative options if this continues.",Low,Low,Poor Network Coverage,Passive-aggressive / sarcastic,Student on a tight budget,Second attempt — raised once before with no resolution
38,"I have noticed a lack of updates regarding my query from last month about my account status. After having contacted your support team multiple times in the last few weeks, each time with no updates given, I feel it is high time to address this with some urgency without further delay.",Low,Low,Lack of Progress Updates,Terse and minimal,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
39,"I was very surprised by the recent increase in my contract rate. As an elderly person, I struggle to keep track of these changes and am left feeling disappointed. I reached out once before, but I have not received a satisfactory response. A clearer communication about pricing changes would be greatly appreciated.",Low,Low,Mid-Contract Price Increase,Verbose and detailed,"Elderly customer, not confident with technology",Second attempt — raised once before with no resolution
40,"I contacted your team to inquire about the lack of progress concerning my reporting issue and was told it was being reviewed. After following up a week later, still nothing. This gap in communication leaves me in the dark about the matter’s resolution and I would prefer a better flow of information going forward.",Low,Low,Lack of Progress Updates,Narrative / storytelling,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
41,"I checked my latest bill and noticed there appears to be an additional fee that I was not informed about. I raised this concern previously, yet it remains unresolved. I would appreciate clarity on why this charge has been applied to my account.",Low,Low,Hidden Fees & Charges,Terse and minimal,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
42,"As a student trying to manage a tight budget, I have been frustrated by the repeated billing errors on my account. I have reached out two or three times in the past month without a satisfactory response. It would be really helpful if you could look into this once and for all.",Low,Low,Overcharging & Incorrect Billing,Polite but firm,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
43,"I reached out to discuss the sudden increase in my monthly charges last week, but the response from your team was lacklustre at best. I would like to request a clear explanation of these charges as I feel they were not adequately disclosed in my previous communication.",Low,Low,Overcharging & Incorrect Billing,Casual conversational,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
44,"Despite raising my issues a number of times regarding the lack of updates on my situation, I have yet to see any improvement or further information from your side. It's rather cumbersome to remain unaware of what is going on with my account, and you'd think after two previous contacts, something would have changed.",Low,Low,Lack of Progress Updates,Narrative / storytelling,Parent managing a family plan,Second attempt — raised once before with no resolution
45,"I appreciate that you have been busy, but a consistent lack of updates on my complaint regarding service quality has been quite disappointing. After several phone calls over the last month, would it be too much to ask for a more definitive timeline or feedback? Your attention to this would improve the overall experience.",Low,Low,Lack of Progress Updates,Verbose and detailed,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
46,"I've reached out several times over the past few weeks regarding the chatbot support which hasn't been helpful. Each attempt has led me down a repetitive path with no real resolution. As a student on a tight budget, I find this experience quite disheartening.",Low,Low,Ineffective AI / Chatbot Support,Passive-aggressive / sarcastic,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
47,"I wanted to share my experience regarding the recent price increase on my contract. The last time I reached out, on September 15th, I spoke to Claire who assured me nothing was going to change for a year, and I relied on that information to manage my costs for my small business. This unexpected rise has made me reconsider my options, as I depend on your service for my livelihood.",Low,Low,Mid-Contract Price Increase,Narrative / storytelling,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
48,"I am writing to formally address the mid-contract price increase that I have recently noticed. I contacted customer service on September 20th, but the response I received was unsatisfactory. As a student, my budget is tight and sudden changes in my monthly fee can pose significant challenges. I appreciate your prompt attention to this matter.",Low,Low,Mid-Contract Price Increase,Formal professional,Student on a tight budget,Second attempt — raised once before with no resolution
49,"I am increasingly concerned about the hidden fees appearing on my latest bill. Despite contacting customer service on September 18th, I have struggled to receive a clear explanation of these charges. Given my previous attempts to resolve this issue, I would like to escalate this matter to a manager or ombudsman for further review.",Low,Low,Hidden Fees & Charges,Legalistic / rights-aware,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
50,"I am disheartened to find that my monthly bill has increased without prior notice. I initially raised this issue on September 10th, but the customer service responses have been vague. As a tech-savvy young professional, I value transparency and proper communication regarding my account. I would like this matter sorted promptly.",Low,Low,Mid-Contract Price Increase,Formal professional,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
51,"I have been noticing recurring hidden fees on my bills over the last few months, and after three previous calls, I am no closer to an explanation. I understand that I may not be as adept with technology, but it feels disconcerting to be unable to decipher these charges. This situation remains unresolved and I would appreciate a direct contact to discuss this further.",Low,Low,Hidden Fees & Charges,Legalistic / rights-aware,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
52,"After many years of being a loyal customer, I am disappointed to experience significantly slower broadband speeds over the past month. As I am reaching out for the first time on this matter, I would like to understand the resolution process and how soon I might expect improvements.",Low,Low,Slow Broadband Speeds,Polite but firm,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
53,"I contacted customer service on September 25th regarding slow broadband speeds, which have been a persistent issue for a couple of weeks now. As someone with a health condition, I rely on stable internet service more than most. My previous attempt at resolving this saw no clear response regarding a timeline for fixes.",Low,Low,Slow Broadband Speeds,Verbose and detailed,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
54,"I have again encountered issues with the chatbot, which has not provided helpful support in addressing my previous inquiries. I have attempted to resolve this matter on three occasions, with the most recent interaction being last week. As a busy young professional, these inconveniences are beginning to feel unmanageable.",Low,Low,Ineffective AI / Chatbot Support,Polite but firm,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
55,"As I experience poor network coverage at my home, I wish to formally express my concerns. I initially raised this with customer service on September 22nd but did not receive a satisfactory response. I understand that a manager may be more equipped to assist with this matter, so I would like to escalate this request.",Low,Low,Slow Broadband Speeds,Legalistic / rights-aware,Parent managing a family plan,Second attempt — raised once before with no resolution
56,"The long wait times experienced during my calls to customer service have been disappointing, especially as a long-term customer since 2012. I have contacted support on multiple occasions over the last month, and the average wait has been over 20 minutes. This level of service is making it difficult to resolve my issues effectively.",Low,Low,Poor Network Coverage,Polite but firm,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
57,"Cancelling my service has proved to be quite complicated, which was unexpected after switching from another provider recently. I’ve reached out for assistance regarding this matter today, and the iterative process has added to my confusion. I would appreciate clear guidance on how to complete this cancellation without unnecessary delays.",Low,Low,Long Call-Waiting Times,Polite but firm,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
58,"As a small business owner, my concerns about the poor network coverage in my area have compounded over the last few weeks. After several attempts to raise this with your team, I am seeking to escalate this further to ensure my service can meet the demands of my business.",Low,Low,Difficulty Cancelling Service,Polite but firm,Recently switched from another provider,First contact — raising the issue for the first time
59,"I’ve contacted support regarding hidden fees on September 23rd, as I noticed charges I wasn't aware of before. As a student, these unexpected costs can create difficulties in budgeting. I would like a proper breakdown of these fees as soon as possible.",Low,Low,Poor Network Coverage,Polite but firm,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
60,"I am writing to formally complain about the mid-contract price increase that was implemented without notification. I had reached out about this on two occasions before, and this final attempt comes in light of a lack of clarity. I trust you can appreciate how discouraging it can be to have these sudden changes during my studies.",Low,Low,Hidden Fees & Charges,Formal professional,Student on a tight budget,First contact — raising the issue for the first time
61,"I am writing to formally address the ongoing issues I have been experiencing with the handset I purchased from your store earlier this year. Despite multiple interactions with your customer service team, including a lengthy call on September 15, where I spoke to Nathan, I have yet to receive a resolution. As a small business owner, reliable service is critical to my operations, and I must insist that this matter be escalated to a manager at your earliest convenience.",Low,Low,Faulty Hardware / Handset Issues,Legalistic / rights-aware,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
62,"I'm reaching out for the first time regarding what appears to be an unexpected charge on my latest bill dated October 1. As a customer with a long-standing account, I was surprised to see an additional fee for services I did not request. I would appreciate your assistance in clarifying this matter and ensuring there are no further surprises in my billing.",Low,Low,Hidden Fees & Charges,Casual conversational,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
63,"I note that my account has recently been auto-renewed without my consent, effective October 5. I had not agreed to continue after my initial term, and I would like to request detailed information regarding this renewal process. Please treat this as a formal request to confirm my cancellation and any options regarding fees for this unapproved extension.",Low,Low,Auto-Renewal Without Consent,Legalistic / rights-aware,Parent managing a family plan,First contact — raising the issue for the first time
64,"As a loyal customer for over a decade, I am disappointed to learn of a price increase on my contract sets to take effect on October 10. I raised this issue during my previous call on September 20, but unfortunately, it was not addressed satisfactorily. It would be beneficial to understand the justification behind this increase and explore options available to retain my current rate.",Low,Low,Mid-Contract Price Increase,Verbose and detailed,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
65,"Despite several attempts over the past two weeks to cancel my service, I have found it unnecessarily complicated. I reached out a few times this month and was met with lengthy waiting times and unclear instructions. As I manage a family plan, the continued hassle is becoming quite burdensome. I would like a straightforward resolution to this matter promptly.",Low,Low,Difficulty Cancelling Service,Verbose and detailed,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
66,"I've recently discovered that my service was auto-renewed without my prior consent, which I raised in a previous email on September 25. Given my current financial constraints as a student, this oversight has put me in a difficult position. I kindly request that this situation be reviewed and addressed as soon as possible.",Low,Low,Auto-Renewal Without Consent,Verbose and detailed,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
67,"I wrote about the unexpected price increase that was applied to my account on September 18, but I haven’t received a response as of yet. I find this lack of communication disappointing. As a senior citizen, I rely on understanding my bills clearly and request that you provide clarification on this matter without further delay.",Low,Low,Mid-Contract Price Increase,Terse and minimal,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
68,"I would like to formally address the poor network coverage I’ve been experiencing as a new customer in certain parts of my area. I reached out on October 2, yet I’ve received no useful information regarding plans for improvement. Given the reliance on mobile services for education, clarity on this issue would be greatly appreciated.",Low,Low,Poor Network Coverage,Legalistic / rights-aware,Student on a tight budget,First contact — raising the issue for the first time
69,"I am following up regarding the lack of progress updates on my service issues, which I initially raised on September 15. At this point, I feel uncertain about the status of the solutions I was promised. Clear communication would be valued as I prefer to avoid additional delays in resolving this issue.",Low,Low,Lack of Progress Updates,Formal professional,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
70,"My attempts to receive adequate support through your AI service have not been successful. I reached out on multiple occasions during September, but each interaction felt unhelpful and uninformative. I found the automated responses frustrating and ultimately unresponsive to my needs. I would prefer to be directed to a human representative for a more effective resolution.",Low,Low,Ineffective AI / Chatbot Support,Narrative / storytelling,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
71,"I am reaching out regarding a malfunctioning device I received in September. After several conversations with customer service, including a call on September 22 with a representative named Alex, I have not yet been able to resolve this issue. I would appreciate a direct response from a manager to expedite the replacement process.",Low,Low,Faulty Hardware / Handset Issues,Terse and minimal,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
72,"I was surprised to find an auto-renewal charge on my latest statement that I did not agree to, which I have not encountered before. This was especially concerning as I was trying to manage my budget. I would like to address this matter directly with a team member who can help clarify your renewal policies and confirm cancellation.",Low,Low,Auto-Renewal Without Consent,Passive-aggressive / sarcastic,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
73,"The recent billing error has continued to impact my monthly statements, with charges on October 1 being inconsistent with our agreement. After my first email on September 25 regarding this, we were supposed to have someone investigate, but I've yet to receive any follow-up. I believe a swift resolution is warranted for a long-standing customer.",Low,Low,Overcharging & Incorrect Billing,Verbose and detailed,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
74,"I have a concern regarding the efficiency of the AI chat support I encountered while trying to resolve an issue last week. I initially attempted to get assistance on September 29 and ended up feeling more confused than helped. It would be beneficial for your support channels to be more intuitive, as it reflects on the overall customer experience.",Low,Low,Ineffective AI / Chatbot Support,Legalistic / rights-aware,Recently switched from another provider,First contact — raising the issue for the first time
75,"As a long-term customer, I was disheartened to discover a loyalty penalty that seems to have appeared on my recent bill. I had reached out on September 28, but my concerns weren't adequately addressed. A clear explanation is necessary so I can understand my account standing and hopefully rectify any confusion.",Low,Low,Loyalty Penalty,Formal professional,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
76,"I've called 4 times in the last three weeks regarding the difficulty in cancelling my service. Each time, I've been assured it was processed, yet here I am stuck with a plan I no longer want. Is there no way to make this easier for a tech-savvy customer?",Low,Low,Difficulty Cancelling Service,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
77,"As a loyal customer for over ten years, I find it disappointing that I've had to request escalations just to cancel my service properly. After multiple conversations with customer support, I believe this matter warrants the attention of a manager or the ombudsman. I hope to resolve this quickly and efficiently.",Low,Low,Difficulty Cancelling Service,Formal professional,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
78,"I’ve tried to cancel my service today and found it harder than it should be. This is my first contact about the issue, but I need assistance in getting this sorted out as soon as possible.",Low,Low,Difficulty Cancelling Service,Terse and minimal,Parent managing a family plan,First contact — raising the issue for the first time
79,"I’ve consistently been experiencing slower broadband speeds than advertised. Despite raising this issue multiple times and requesting escalation, it seems there has been no resolution. I would appreciate a detailed review of my situation and the necessary corrective actions.",Low,Low,Slow Broadband Speeds,Legalistic / rights-aware,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
80,"Network coverage in my area has been persistently poor, impacting my daily routine. I have previously raised this issue without satisfactory resolution. I would like to know what further steps can be taken to improve the service I am receiving.",Low,Low,Poor Network Coverage,Casual conversational,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
81,"I recently noticed some hidden charges on my bill that were not discussed during sign-up. This is my first time raising the issue, but I would appreciate clarity on these fees as they were not expected.",Low,Low,Hidden Fees & Charges,Narrative / storytelling,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
82,I'm curious about the loyalty penalty that seems to apply to my family plan. This is the first time I’m contacting regarding this. I would like to understand my options to ensure I am not overpaying.,Low,Low,Loyalty Penalty,Casual conversational,Parent managing a family plan,First contact — raising the issue for the first time
83,I’ve just contacted support regarding the loyalty penalty for my family plan. It’s disappointing to encounter such a situation. I would hope for better clarity in the future.,Low,Low,Slow Broadband Speeds,Terse and minimal,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
84,"I’ve contacted you about my broadband speeds, which have been less than satisfactory. As this is my first complaint, I would like to understand if there are any recommended solutions.",Low,Low,Poor Network Coverage,Formal professional,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
85,The coverage in my area has been quite poor and it has affected my ability to make calls. Since this is my first complaint I am hopeful for a prompt resolution.,Low,Low,Loyalty Penalty,Casual conversational,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
86,"I am a long-term customer and recently reached out regarding billing inaccuracies. It's been two weeks, and I’ve yet to see any resolution. A manager's input would likely help expedite this matter.",Low,Low,Overcharging & Incorrect Billing,Passive-aggressive / sarcastic,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
87,I've tried getting clarification on a billing error that has been occurring repeatedly over the past month. I have reached out three times already and need this addressed promptly.,Low,Low,Overcharging & Incorrect Billing,Narrative / storytelling,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
88,"Since switching to your service, I have encountered several billing discrepancies. Despite my attempts to resolve this over the last month, the issues persist and require a higher level of response.",Low,Low,Overcharging & Incorrect Billing,Legalistic / rights-aware,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
89,I attempted to reach customer service regarding long call-wait times and raised the issue before. I am now following up for a second time and expect some movement towards an improvement.,Low,Low,Long Call-Waiting Times,Terse and minimal,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
90,"My business relies heavily on stable network coverage, which hasn't been the case lately. Having already escalated my concerns without a resolution, I believe this situation now warrants the attention of a manager.",Low,Low,Poor Network Coverage,Passive-aggressive / sarcastic,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
91,"I reached out last week regarding the lack of any updates on my broadband issue, but it seems nothing has changed. It's been over ten days since I last heard anything from your support team. A bit more communication would be appreciated.",Low,Low,Lack of Progress Updates,Passive-aggressive / sarcastic,Student on a tight budget,Second attempt — raised once before with no resolution
92,"I've noticed that the broadband speeds are significantly slower than what was promised in my plan. Given my budget as a student, this has become quite inconvenient. I would like to escalate this matter as I have already spent considerable time trying to resolve it with your initial representatives.",Low,Low,Slow Broadband Speeds,Polite but firm,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
93,I recently waited for over 30 minutes on hold just to speak with customer service. This seems excessive for a quick inquiry. Please address this issue.,Low,Low,Long Call-Waiting Times,Terse and minimal,Student on a tight budget,First contact — raising the issue for the first time
94,"I was surprised to see an increase in my monthly bill mid-contract. At my age, I appreciate predictability when it comes to expenses. I have tried to contact your team regarding this, but I feel my concerns have not yet been adequately addressed.",Low,Low,Mid-Contract Price Increase,Polite but firm,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
